Name,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Age
BMW 5 Series 520d Luxury Line,95000,Diesel,Automatic,2,22.48,1995,190.0,5,17500.0,9
Hyundai i20 Sportz Diesel,68439,Diesel,Manual,1,23.0,1396,90.0,5,3370.0,10
Hyundai i10 Magna 1.2 iTech SE,9489,Petrol,Manual,1,20.36,1197,78.9,5,2950.0,10
Maruti Ritz LDi,90207,Diesel,Manual,1,21.1,1248,73.9,5,3910.0,10
Audi A4 2.0 TDI 177 Bhp Premium Plus,40000,Diesel,Automatic,1,17.11,1968,174.33,5,17500.0,7
Audi Q7 4.2 TDI Quattro Technology,51002,Diesel,Automatic,1,11.33,4134,335.2,7,48910.0,5
Hyundai Grand i10 Sportz,8500,Petrol,Manual,2,18.9,1197,82.0,5,4800.0,4
Maruti Swift Dzire VXI,48800,Petrol,Manual,1,19.1,1197,85.8,5,4250.0,7
Hyundai Verna 1.6 SX CRDi (O),72996,Diesel,Manual,1,22.32,1582,126.32,5,7110.0,6
Maruti Alto LXi,65000,Petrol,Manual,1,19.7,796,46.3,5,1590.0,13
Hyundai i20 Magna,54000,Petrol,Manual,1,18.5,1197,82.85,5,3300.0,9
Tata Safari Storme Explorer Edition,80000,Diesel,Manual,1,14.0,2179,138.1,7,6000.0,7
Land Rover Freelander 2 TD4 HSE,72000,Diesel,Automatic,1,0.0,2179,115.0,5,15500.0,8
Skoda Superb 1.8 TSI MT,53293,Petrol,Manual,1,13.14,1798,160.0,5,6000.0,11
Maruti Swift LXI Option,29500,Petrol,Manual,1,20.4,1197,81.8,5,4150.0,6
Skoda Laura Ambition 2.0 TDI CR MT,84062,Diesel,Manual,1,20.0,1968,108.5,5,5800.0,10
Volkswagen Vento Petrol Highline,55893,Petrol,Manual,1,15.04,1598,103.6,5,3350.0,10
BMW X1 xDrive 20d xLine,7000,Diesel,Automatic,1,20.68,1995,190.0,5,27750.0,5
Toyota Corolla Altis GL MT,33690,Petrol,Manual,1,14.28,1798,138.03,5,14600.0,5
Hyundai Elantra CRDi SX AT,22000,Diesel,Automatic,1,19.5,1582,126.24,5,16000.0,5
Maruti Alto 800 LXI,27718,Petrol,Manual,1,22.74,796,47.3,5,3280.0,4
Maruti Ertiga ZDI Plus,42000,Diesel,Manual,1,25.47,1248,88.5,7,9900.0,5
Hyundai Grand i10 1.2 Kappa Sportz,38712,Petrol,Manual,1,18.9,1197,81.86,5,5870.0,4
Chevrolet Aveo U-VA 1.2 LS,75000,Petrol,Manual,2,15.26,1150,74.9,5,1150.0,13
Mercedes-Benz E-Class 2009-2013 E 250 Elegance,87073,Petrol,Automatic,1,10.93,2497,204.0,5,17230.0,10
Hyundai Verna 1.4 VTVT,36000,Petrol,Manual,1,17.43,1396,105.5,5,8000.0,5
Honda City 1.5 S MT,71556,Petrol,Manual,1,17.0,1497,118.0,5,5500.0,10
Hyundai Creta 1.6 SX,69000,Petrol,Manual,1,15.8,1591,121.3,5,9700.0,5
Renault Duster 85PS Diesel RxL,90000,Diesel,Manual,1,19.87,1461,83.8,5,5350.0,7
Skoda Yeti Elegance,110009,Diesel,Manual,1,17.67,1968,138.08,5,6990.0,11
Honda City i-VTEC CVT VX,18955,Petrol,Automatic,1,18.0,1497,117.3,5,10650.0,6
Hyundai i20 Diesel Asta Option,31000,Diesel,Manual,1,22.54,1396,88.73,5,7750.0,3
Mahindra Scorpio S10 AT 4WD,66988,Diesel,Automatic,1,15.4,2179,120.0,7,10000.0,4
Toyota Fortuner 4x4 MT,68350,Diesel,Manual,1,12.55,2982,168.5,7,14000.0,9
Hyundai i10 Era,56075,Petrol,Manual,1,19.81,1086,68.05,5,3120.0,8
Volkswagen Polo 1.0 MPI Comfortline,42000,Petrol,Manual,2,18.78,999,75.0,5,5500.0,5
Honda Accord VTi-L MT,86000,Petrol,Manual,3,11.9,2354,144.0,5,1850.0,14
Mercedes-Benz E-Class 2015-2017 E250 CDI Avantgarde,21000,Diesel,Automatic,1,13.0,2143,204.0,5,36000.0,5
Maruti A-Star AT Vxi Aktiv,60587,Petrol,Automatic,2,16.98,998,66.1,5,3490.0,8
Ford Figo Petrol Titanium,59196,Petrol,Manual,2,15.6,1196,70.0,5,2250.0,11
BMW 3 Series 320d,80000,Diesel,Automatic,1,22.69,1995,190.0,5,14200.0,11
Mercedes-Benz M-Class ML 350 4Matic,22769,Diesel,Automatic,1,0.0,2987,165.0,5,49220.0,5
Maruti Ignis 1.3 Zeta,19000,Diesel,Manual,1,26.8,1248,74.0,5,5910.0,4
Hyundai i20 1.4 CRDi Asta,83000,Diesel,Manual,1,23.0,1396,90.0,5,5500.0,9
Hyundai EON Magna Plus,12000,Petrol,Manual,1,21.1,814,55.2,5,3500.0,4
Honda Mobilio E i DTEC,58972,Diesel,Manual,1,24.2,1498,98.6,7,6500.0,7
Volkswagen CrossPolo 1.5 TDI,26256,Diesel,Manual,1,20.14,1498,88.5,5,4250.0,6
Honda Brio S MT,53959,Petrol,Manual,1,19.4,1198,86.8,5,3500.0,8
Tata Indigo eCS LS (TDI) BS-III,83000,Diesel,Manual,1,19.09,1405,69.01,5,2700.0,6
Toyota Corolla Executive (HE),89000,Petrol,Manual,1,13.4,1794,125.0,5,3000.0,14
Honda City 1.5 S MT,83432,Petrol,Manual,1,17.0,1497,118.0,5,5900.0,8
Toyota Etios Liva V,24500,Petrol,Manual,2,18.3,1197,78.9,5,2950.0,9
Renault Duster 85PS Diesel RxL Optional,30000,Diesel,Manual,1,20.46,1461,83.8,5,5950.0,7
Maruti SX4 Vxi BSIV,69918,Petrol,Manual,1,15.5,1586,103.3,5,2830.0,11
Renault Duster Petrol RxL,52000,Petrol,Manual,1,13.24,1598,102.57,5,5990.0,7
Honda CR-V 2.0L 2WD AT,55987,Petrol,Automatic,1,13.7,1997,153.86,5,8220.0,10
Toyota Fortuner 2.8 2WD MT,72668,Diesel,Manual,1,14.24,2755,174.5,7,28850.0,4
Volkswagen Vento Konekt Diesel Highline,55000,Diesel,Manual,2,20.54,1598,103.6,5,6100.0,8
Volkswagen Polo Diesel Comfortline 1.2L,77445,Diesel,Manual,1,22.07,1199,73.9,5,3750.0,8
Mahindra TUV 300 2015-2019 T8,22251,Diesel,Manual,1,18.49,1493,100.0,7,8750.0,4
Renault Duster 110PS Diesel RxL,82749,Diesel,Manual,1,19.01,1461,108.45,5,5990.0,9
Maruti Ertiga VDI,54161,Diesel,Manual,1,25.47,1248,88.5,7,7640.0,5
Hyundai Verna CRDi ABS,120000,Diesel,Manual,2,18.1,1493,110.0,5,2000.0,13
Hyundai i20 Asta 1.2,57000,Petrol,Manual,1,18.6,1197,81.83,5,6000.0,5
Maruti Dzire VDI,110000,Diesel,Manual,1,28.4,1248,73.75,5,4000.0,10
Mercedes-Benz New C-Class 250 CDI Classic,41367,Diesel,Automatic,1,15.8,2148,170.0,5,18490.0,9
Maruti Celerio ZXI,21701,Petrol,Manual,1,23.1,998,67.04,5,3380.0,7
Maruti Swift Dzire Tour LDI,80000,Diesel,Manual,1,23.4,1248,74.0,5,4500.0,5
Mahindra Ssangyong Rexton RX5,73670,Diesel,Manual,1,12.83,2696,162.0,7,12500.0,9
Skoda Rapid Leisure 1.6 TDI MT,55000,Diesel,Manual,1,20.5,1598,103.6,5,3500.0,9
Toyota Innova Crysta 2.4 ZX MT,43200,Diesel,Manual,1,13.68,2393,147.8,7,18600.0,4
Toyota Innova 2.5 G (Diesel) 8 Seater,106000,Diesel,Manual,1,12.99,2494,100.0,8,8400.0,9
Volkswagen Vento Diesel Trendline,110000,Diesel,Manual,2,20.54,1598,103.6,5,3650.0,9
Honda City i VTEC SV,480000,Petrol,Manual,1,17.4,1497,117.3,5,5000.0,6
Audi Q7 3.0 TDI Quattro Premium Plus,31075,Diesel,Automatic,2,12.07,2967,241.4,7,49790.0,5
Maruti Swift VXi BSIV,19148,Petrol,Manual,1,16.1,1197,85.0,5,5890.0,5
Hyundai i20 Sportz 1.2,24001,Petrol,Manual,1,18.6,1197,81.83,5,5750.0,5
Tata Indigo CS eVX,52000,Diesel,Manual,2,25.0,1396,69.01,5,2400.0,5
Hyundai Grand i10 Sportz,33284,Petrol,Manual,1,18.9,1197,82.0,5,5840.0,4
Ford EcoSport 1.5 Petrol Trend,21460,Petrol,Manual,1,17.0,1497,121.36,5,6000.0,5
Volkswagen Polo 1.2 MPI Highline,58134,Petrol,Manual,1,16.47,1198,74.0,5,4640.0,6
Toyota Fortuner 4x2 Manual,115000,Diesel,Manual,1,13.0,2982,168.5,7,12990.0,9
Skoda Laura Ambiente,77216,Diesel,Manual,2,17.5,1896,106.0,5,4500.0,9
Hyundai EON Era Plus,91000,Petrol,Manual,1,21.1,814,55.2,5,2500.0,6
Volkswagen Vento 1.5 TDI Highline,28000,Diesel,Manual,1,20.64,1498,108.5,5,10000.0,4
Hyundai Grand i10 1.2 Kappa Magna,8471,Petrol,Manual,1,18.9,1197,81.86,5,5000.0,4
Hyundai Creta 1.6 SX Plus Petrol Automatic,32854,Petrol,Automatic,1,13.0,1591,121.3,5,12600.0,3
Renault Duster 110PS Diesel RxZ,57000,Diesel,Manual,1,19.01,1461,108.45,5,4990.0,8
Volkswagen Vento IPL II Petrol Highline AT,36000,Petrol,Automatic,1,14.8,1598,105.0,5,4650.0,8
Maruti Vitara Brezza ZDi Plus,39000,Diesel,Manual,1,24.3,1248,88.5,5,9490.0,4
Toyota Innova 2.5 GX (Diesel) 7 Seater,62000,Diesel,Manual,1,12.99,2494,100.0,7,7750.0,9
Chevrolet Cruze LTZ AT,73204,Diesel,Automatic,3,18.1,1991,147.9,4,3500.0,12
Hyundai i10 Era,60634,Petrol,Manual,1,19.81,1086,68.05,5,3300.0,10
Skoda Octavia Elegance 2.0 TDI AT,71826,Diesel,Automatic,1,19.3,1968,141.0,5,15500.0,6
Hyundai Grand i10 Asta Option,50000,Petrol,Manual,1,18.9,1197,82.0,5,5750.0,6
Volkswagen Polo 1.2 MPI Highline,7523,Petrol,Manual,1,16.2,1199,74.0,5,6150.0,5
Volkswagen Polo Petrol Comfortline 1.2L,28851,Petrol,Manual,1,16.47,1198,73.9,5,6180.0,5
Honda City i VTEC CVT VX,50000,Petrol,Automatic,1,18.0,1497,117.3,5,7410.0,6
Maruti Baleno RS 1.0 Petrol,16900,Petrol,Manual,1,21.1,998,100.0,5,6990.0,4
Maruti Celerio VXI,25562,Petrol,Manual,1,23.1,998,67.04,5,3500.0,5
Toyota Innova Crysta 2.4 ZX MT,64798,Diesel,Manual,1,13.68,2393,147.8,7,18750.0,4
Hyundai Santa Fe 4WD AT,59000,Diesel,Automatic,1,13.01,2199,194.3,7,21000.0,6
Hyundai EON D Lite Plus,31412,Petrol,Manual,1,21.1,814,55.2,5,3420.0,6
Fiat Avventura MULTIJET Emotion,18705,Diesel,Manual,1,20.5,1248,91.72,5,7710.0,3
Hyundai i20 2015-2017 1.4 Magna ABS,64000,Diesel,Manual,1,21.9,1396,90.0,5,4250.0,9
Audi Q5 2.0 TDI,72000,Diesel,Automatic,1,14.16,1968,174.3,5,29000.0,8
Mahindra XUV500 W10 2WD,73000,Diesel,Manual,1,16.0,2179,140.0,7,12500.0,6
Mercedes-Benz E-Class E250 CDI Launch Edition,73187,Diesel,Automatic,1,13.0,2143,204.0,5,30720.0,6
Hyundai Creta 1.6 CRDi AT SX Plus,38593,Diesel,Automatic,1,17.01,1582,126.2,5,13230.0,5
Land Rover Discovery Sport TD4 HSE,77000,Diesel,Automatic,1,12.63,2179,147.5,5,35000.0,5
Honda City 1.5 S MT,49999,Petrol,Manual,1,17.0,1497,118.0,5,3800.0,10
Skoda Rapid 1.5 TDI Ambition,54500,Diesel,Manual,1,21.13,1498,108.4,5,4100.0,9
Maruti Swift Dzire VDI Optional,18592,Diesel,Manual,1,26.59,1248,74.0,5,8510.0,2
Hyundai i10 Sportz,90000,Petrol,Manual,2,20.36,1197,78.9,5,2800.0,7
Renault Scala Diesel RxL,52126,Diesel,Manual,1,21.64,1461,84.8,5,6000.0,5
Honda City 1.5 V MT,42750,Petrol,Manual,1,17.0,1497,118.0,5,6330.0,9
Mahindra Bolero ZLX,63000,Diesel,Manual,1,15.96,2523,62.1,7,5500.0,8
Maruti 800 AC,70000,Petrol,Manual,2,16.1,796,37.0,4,900.0,11
Jeep Compass 2.0 Limited Option 4X4,15050,Diesel,Manual,1,16.3,1956,170.0,5,17500.0,4
Mercedes-Benz New C-Class 220 CDI AT,68782,Diesel,Automatic,1,14.84,2143,170.0,5,12500.0,11
Toyota Innova 2.5 ZX Diesel 7 Seater,86398,Diesel,Manual,1,12.99,2494,100.6,7,15200.0,6
Hyundai Creta 1.6 CRDi AT SX Plus,13000,Diesel,Automatic,1,17.01,1582,126.2,5,14500.0,4
Maruti Swift Dzire VDI,75074,Diesel,Manual,1,23.4,1248,74.0,5,5250.0,7
Ford Figo Petrol ZXI,114703,Petrol,Manual,1,15.6,1196,70.0,5,1800.0,11
BMW X5 xDrive 30d Design Pure Experience 5 Seater,69000,Diesel,Automatic,1,15.97,2993,258.0,5,54000.0,6
Maruti Wagon R VXI BS IV,17400,Petrol,Manual,1,20.51,998,67.04,5,3100.0,7
Mercedes-Benz A Class A180 CDI,37000,Diesel,Automatic,1,20.0,2143,107.3,5,13000.0,8
Maruti Swift Dzire VDI,29000,Diesel,Manual,1,23.4,1248,74.0,5,5750.0,7
Maruti Dzire ZDI,56454,Diesel,Manual,1,28.4,1248,73.75,5,4650.0,8
Fiat Grande Punto 1.2 Dynamic,25000,Petrol,Manual,2,15.7,1172,67.0,5,1250.0,10
Tata Tiago 1.2 Revotron XT,15386,Petrol,Manual,1,23.84,1199,84.0,5,5110.0,4
BMW 5 Series 520d Luxury Line,46000,Diesel,Automatic,1,22.48,1995,190.0,5,16500.0,11
Maruti Swift Dzire LDI,40000,Diesel,Manual,2,26.59,1248,74.0,5,4500.0,6
Maruti Celerio ZXI,57818,Petrol,Manual,1,23.1,998,67.04,5,4300.0,6
Renault KWID RXT,4700,Petrol,Manual,1,25.17,799,53.3,5,3000.0,4
Volkswagen Polo 1.2 MPI Highline,29651,Petrol,Manual,1,16.47,1198,74.0,5,6430.0,6
Hyundai i10 Magna 1.2,35082,Petrol,Manual,1,20.36,1197,78.9,5,2210.0,10
Toyota Fortuner 3.0 Diesel,136000,Diesel,Manual,2,11.5,2982,171.0,7,11000.0,11
Skoda Superb Elegance 1.8 TSI AT,80000,Petrol,Automatic,1,13.7,1798,157.75,5,10750.0,7
Hyundai Grand i10 Magna AT,9000,Petrol,Automatic,1,18.9,1197,82.0,5,5450.0,5
BMW 3 Series Luxury Line,30717,Diesel,Automatic,2,21.76,1995,190.0,5,25990.0,6
Volkswagen Polo Petrol Comfortline 1.2L,65000,Petrol,Manual,1,16.47,1198,73.9,5,2400.0,11
Nissan X-Trail SLX MT,98000,Diesel,Manual,1,14.42,1995,147.6,5,8000.0,10
Ford EcoSport 1.5 TDCi Titanium,37160,Diesel,Manual,1,22.77,1498,98.59,5,9460.0,3
Mercedes-Benz M-Class ML 350 CDI,51000,Diesel,Automatic,1,11.74,2987,254.8,5,22250.0,9
Maruti Swift Dzire LXi,71346,Petrol,Manual,1,17.5,1298,85.8,5,3800.0,12
Mahindra Xylo E4 ABS BS III,167362,Diesel,Manual,1,11.68,2498,112.0,7,4000.0,8
Toyota Innova Crysta 2.8 GX AT,100200,Diesel,Automatic,1,11.36,2755,171.5,7,17000.0,5
Hyundai i20 Asta 1.4 CRDi (Diesel),68000,Diesel,Manual,2,23.0,1396,90.0,5,3950.0,12
Honda City 1.3 EXI,85000,Petrol,Manual,1,13.0,1343,90.0,5,1200.0,19
Maruti SX4 VDI,90000,Diesel,Manual,1,21.5,1248,88.8,5,4500.0,7
Ford Figo Diesel EXI,90000,Diesel,Manual,2,20.0,1399,68.0,5,1400.0,11
Hyundai Accent GLS,80000,Petrol,Manual,2,13.2,1495,94.0,5,1900.0,13
Volkswagen Jetta 2007-2011 1.9 Highline TDI,64889,Diesel,Automatic,1,15.5,1896,105.0,5,11500.0,7
Ford Fiesta Titanium 1.5 TDCi,96000,Diesel,Manual,2,23.5,1498,90.0,5,3500.0,8
Fiat Grande Punto 1.3 Emotion (Diesel),130000,Diesel,Manual,1,20.3,1248,75.0,5,2200.0,10
Maruti Ertiga SHVS ZDI Plus,112200,Diesel,Manual,1,24.52,1248,88.5,7,8300.0,5
Maruti Zen Estilo LXI BSIII,63000,Petrol,Manual,2,18.2,998,67.1,5,1250.0,12
Audi A7 2011-2015 3.0 TDI Quattro,60336,Diesel,Automatic,2,14.4,2967,241.4,5,24940.0,7
Volkswagen Ameo 1.2 MPI Comfortline,12000,Petrol,Manual,1,17.0,1198,73.75,5,5400.0,4
Mahindra XUV500 W10 2WD,40000,Diesel,Manual,1,16.0,2179,140.0,7,15900.0,4
Toyota Etios VXD,65000,Diesel,Manual,2,23.59,1364,67.04,5,5000.0,6
Maruti S Cross DDiS 320 Alpha,16607,Diesel,Manual,1,22.7,1598,118.0,5,7650.0,6
Ford EcoSport 1.5 TDCi Titanium,80000,Diesel,Manual,1,22.77,1498,98.59,5,7000.0,6
Hyundai i20 Magna 1.2,14064,Petrol,Manual,1,18.6,1197,81.83,5,6590.0,4
Volkswagen Vento 1.5 TDI Highline,62767,Diesel,Manual,1,20.34,1498,103.2,5,9750.0,5
Hyundai Verna CRDi 1.4 E,121097,Diesel,Manual,2,24.0,1396,88.76,5,1900.0,13
Ford Ecosport 1.5 DV5 MT Titanium,57000,Diesel,Manual,1,22.7,1498,89.84,5,5490.0,7
Maruti SX4 Vxi BSIII,62000,Petrol,Manual,2,15.0,1586,104.68,5,2110.0,13
Renault KWID RXT,41000,Petrol,Manual,2,25.17,799,53.3,5,3250.0,5
